# team: unknown
# label: peace
# timestamp: 20260227_144938
# sample_rate: 250
# samples: 14728
# duration_sec: 58.912
# channels: EOG1,EOG2,EMG3
#
timestamp,EOG1,EOG2,EMG3
1772221719.7188993,71.0,314.0,-1601.0
1772221719.7268991,70.0,311.0,-1599.0
1772221719.7188993,70.0,312.0,-1599.0
1772221719.7268991,71.0,314.0,-1603.0
1772221719.73324,72.0,315.0,-1603.0
1772221719.7412398,77.0,321.0,-1600.0
1772221719.73324,80.0,323.0,-1602.0
1772221719.7412398,84.0,325.0,-1606.0
1772221719.7610066,89.0,329.0,-1606.0
1772221719.7690065,90.0,330.0,-1602.0
1772221719.7618284,93.0,332.0,-1606.0
1772221719.7698283,98.0,337.0,-1611.0
1772221719.774107,103.0,339.0,-1609.0
1772221719.7821069,107.0,343.0,-1606.0
1772221719.7764466,108.0,345.0,-1606.0
1772221719.7844465,111.0,346.0,-1609.0
1772221719.7764466,116.0,350.0,-1611.0
1772221719.7844465,118.0,352.0,-1611.0
1772221719.7799795,122.0,354.0,-1610.0
1772221719.7879794,123.0,353.0,-1610.0
1772221719.8032463,126.0,355.0,-1611.0
1772221719.8112462,129.0,357.0,-1612.0
1772221719.80477,132.0,359.0,-1609.0
1772221719.81277,135.0,363.0,-1612.0
1772221719.80477,135.0,358.0,-1612.0
1772221719.81277,133.0,356.0,-1605.0
1772221719.8161423,134.0,355.0,-1604.0
1772221719.8241422,133.0,353.0,-1608.0
1772221719.820373,132.0,356.0,-1613.0
1772221719.828373,132.0,354.0,-1611.0
1772221719.8301034,130.0,354.0,-1609.0
1772221719.8381033,129.0,350.0,-1610.0
1772221719.843246,124.0,347.0,-1615.0
1772221719.8512459,122.0,346.0,-1615.0
1772221719.849286,123.0,346.0,-1612.0
1772221719.857286,123.0,348.0,-1612.0
1772221719.873981,122.0,346.0,-1614.0
1772221719.881981,116.0,339.0,-1613.0
1772221719.873981,113.0,338.0,-1609.0
1772221719.881981,116.0,341.0,-1611.0
1772221719.8970964,114.0,338.0,-1613.0
1772221719.9050963,108.0,334.0,-1613.0
1772221719.8986588,109.0,335.0,-1610.0
1772221719.9066586,110.0,339.0,-1607.0
1772221719.90172,107.0,336.0,-1610.0
1772221719.90972,103.0,331.0,-1612.0
1772221719.9032395,105.0,332.0,-1610.0
1772221719.9112394,102.0,331.0,-1608.0
1772221719.9039474,99.0,329.0,-1611.0
1772221719.9119473,99.0,327.0,-1611.0
1772221719.9085753,94.0,322.0,-1608.0
1772221719.9165752,90.0,320.0,-1605.0
1772221719.9164264,93.0,324.0,-1609.0
1772221719.9244263,95.0,324.0,-1610.0
1772221719.956424,90.0,321.0,-1604.0
1772221719.964424,87.0,318.0,-1601.0
1772221719.9567454,83.0,314.0,-1606.0
1772221719.9647453,83.0,315.0,-1610.0
1772221719.9915001,82.0,315.0,-1606.0
1772221719.9995,82.0,314.0,-1601.0
1772221719.991807,81.0,315.0,-1602.0
1772221719.999807,80.0,314.0,-1602.0
1772221720.0168576,76.0,309.0,-1603.0
1772221720.0248575,76.0,309.0,-1603.0
1772221720.024729,74.0,307.0,-1601.0
1772221720.032729,76.0,309.0,-1603.0
1772221720.037781,76.0,308.0,-1604.0
1772221720.045781,72.0,305.0,-1599.0
1772221720.0380569,72.0,305.0,-1598.0
1772221720.0460567,71.0,303.0,-1601.0
1772221720.0380569,68.0,303.0,-1601.0
1772221720.0460567,71.0,306.0,-1598.0
1772221720.039574,70.0,306.0,-1597.0
1772221720.0475738,69.0,303.0,-1600.0
1772221720.0410914,69.0,302.0,-1601.0
1772221720.0490913,69.0,300.0,-1600.0
1772221720.0420992,67.0,300.0,-1597.0
1772221720.0500991,69.0,302.0,-1599.0
1772221720.0424585,70.0,303.0,-1599.0
1772221720.0504584,70.0,304.0,-1599.0
1772221720.0439916,70.0,303.0,-1599.0
1772221720.0519915,71.0,302.0,-1598.0
1772221720.0439916,70.0,303.0,-1602.0
1772221720.0519915,71.0,303.0,-1603.0
1772221720.0483215,70.0,303.0,-1598.0
1772221720.0563214,71.0,304.0,-1601.0
1772221720.0520709,72.0,305.0,-1603.0
1772221720.0600708,74.0,306.0,-1602.0
1772221720.0618417,74.0,307.0,-1594.0
1772221720.0698416,75.0,306.0,-1585.0
1772221720.0820951,76.0,307.0,-1579.0
1772221720.090095,76.0,307.0,-1571.0
1772221720.0820951,76.0,308.0,-1563.0
1772221720.090095,76.0,308.0,-1559.0
1772221720.085658,76.0,307.0,-1557.0
1772221720.093658,76.0,307.0,-1554.0
1772221720.110277,75.0,307.0,-1550.0
1772221720.1182768,77.0,308.0,-1545.0
1772221720.1129096,78.0,310.0,-1546.0
1772221720.1209095,78.0,310.0,-1545.0
1772221720.1413856,76.0,308.0,-1540.0
1772221720.1493855,77.0,309.0,-1536.0
1772221720.1413856,76.0,309.0,-1536.0
1772221720.1493855,75.0,308.0,-1538.0
1772221720.1428216,75.0,308.0,-1533.0
1772221720.1508214,75.0,309.0,-1533.0
1772221720.1428216,75.0,309.0,-1534.0
1772221720.1508214,74.0,309.0,-1533.0
1772221720.1428216,74.0,309.0,-1533.0
1772221720.1508214,74.0,309.0,-1529.0
1772221720.1493258,73.0,310.0,-1530.0
1772221720.1573257,73.0,311.0,-1534.0
1772221720.1818168,73.0,309.0,-1532.0
1772221720.1898167,73.0,309.0,-1528.0
1772221720.1818168,74.0,311.0,-1529.0
1772221720.1898167,73.0,312.0,-1530.0
1772221720.182817,72.0,310.0,-1528.0
1772221720.1908169,73.0,310.0,-1525.0
1772221720.1833248,76.0,311.0,-1526.0
1772221720.1913247,76.0,313.0,-1529.0
1772221720.1910017,76.0,313.0,-1528.0
1772221720.1990016,77.0,313.0,-1522.0
1772221720.1978219,77.0,313.0,-1524.0
1772221720.2058218,78.0,314.0,-1527.0
1772221720.2177153,78.0,314.0,-1527.0
1772221720.2257152,78.0,313.0,-1524.0
1772221720.232629,76.0,313.0,-1522.0
1772221720.240629,74.0,312.0,-1523.0
1772221720.2337143,71.0,309.0,-1527.0
1772221720.2417142,71.0,310.0,-1522.0
1772221720.2644458,72.0,311.0,-1518.0
1772221720.2724457,71.0,310.0,-1522.0
1772221720.2644458,71.0,309.0,-1525.0
1772221720.2724457,72.0,310.0,-1522.0
1772221720.2656772,72.0,311.0,-1515.0
1772221720.273677,73.0,312.0,-1516.0
1772221720.2673652,72.0,312.0,-1524.0
1772221720.275365,72.0,312.0,-1522.0
1772221720.2673652,69.0,307.0,-1514.0
1772221720.275365,71.0,309.0,-1517.0
1772221720.2695613,71.0,311.0,-1521.0
1772221720.2775612,71.0,311.0,-1520.0
1772221720.2772372,73.0,312.0,-1518.0
1772221720.285237,75.0,312.0,-1516.0
1772221720.2846608,76.0,315.0,-1519.0
1772221720.2926607,76.0,315.0,-1520.0
1772221720.302698,80.0,315.0,-1517.0
1772221720.3106978,84.0,322.0,-1515.0
1772221720.3089302,83.0,322.0,-1517.0
1772221720.31693,87.0,322.0,-1520.0
1772221720.3089302,89.0,325.0,-1518.0
1772221720.31693,94.0,330.0,-1515.0
1772221720.3166351,101.0,336.0,-1518.0
1772221720.324635,105.0,342.0,-1516.0
1772221720.3541446,108.0,343.0,-1514.0
1772221720.3621445,112.0,349.0,-1514.0
1772221720.3541446,121.0,355.0,-1515.0
1772221720.3621445,123.0,356.0,-1513.0
1772221720.3627715,125.0,362.0,-1510.0
1772221720.3707714,131.0,368.0,-1507.0
1772221720.3631477,136.0,371.0,-1508.0
1772221720.3711476,141.0,374.0,-1512.0
1772221720.3646667,144.0,380.0,-1512.0
1772221720.3726666,146.0,383.0,-1510.0
1772221720.3661966,152.0,390.0,-1512.0
1772221720.3741965,153.0,392.0,-1517.0
1772221720.372344,156.0,396.0,-1518.0
1772221720.380344,158.0,397.0,-1512.0
1772221720.3814597,158.0,399.0,-1514.0
1772221720.3894596,161.0,403.0,-1519.0
1772221720.3989725,165.0,406.0,-1519.0
1772221720.4069724,166.0,407.0,-1514.0
1772221720.4055448,167.0,410.0,-1511.0
1772221720.4135447,168.0,409.0,-1513.0
1772221720.4055448,171.0,412.0,-1519.0
1772221720.4135447,172.0,414.0,-1516.0
1772221720.4143214,172.0,414.0,-1514.0
1772221720.4223213,172.0,415.0,-1515.0
1772221720.420012,173.0,414.0,-1517.0
1772221720.428012,172.0,413.0,-1514.0
1772221720.429409,172.0,415.0,-1511.0
1772221720.437409,171.0,415.0,-1515.0
1772221720.4503536,170.0,412.0,-1519.0
1772221720.4583535,169.0,412.0,-1516.0
1772221720.4672632,167.0,412.0,-1512.0
1772221720.475263,167.0,411.0,-1515.0
1772221720.4672632,167.0,411.0,-1518.0
1772221720.475263,167.0,410.0,-1517.0
1772221720.4853597,167.0,411.0,-1513.0
1772221720.4933596,166.0,409.0,-1513.0
1772221720.496418,165.0,409.0,-1518.0
1772221720.504418,165.0,410.0,-1518.0
1772221720.5018306,164.0,410.0,-1514.0
1772221720.5098305,163.0,409.0,-1515.0
1772221720.5018306,164.0,409.0,-1518.0
1772221720.5098305,164.0,408.0,-1517.0
1772221720.5038748,162.0,407.0,-1514.0
1772221720.5118747,161.0,407.0,-1512.0
1772221720.5046144,162.0,408.0,-1513.0
1772221720.5126143,160.0,406.0,-1516.0
1772221720.5113316,159.0,404.0,-1517.0
1772221720.5193315,159.0,404.0,-1513.0
1772221720.5162508,156.0,402.0,-1514.0
1772221720.5242507,156.0,399.0,-1517.0
1772221720.5255604,156.0,399.0,-1513.0
1772221720.5335603,153.0,396.0,-1510.0
1772221720.5407639,152.0,396.0,-1513.0
1772221720.5487638,150.0,394.0,-1515.0
1772221720.5506372,148.0,392.0,-1513.0
1772221720.5586371,147.0,391.0,-1510.0
1772221720.552162,145.0,389.0,-1510.0
1772221720.5601618,142.0,387.0,-1514.0
1772221720.5567956,140.0,384.0,-1513.0
1772221720.5647955,138.0,382.0,-1510.0
1772221720.5948713,136.0,381.0,-1512.0
1772221720.6028712,135.0,380.0,-1513.0
1772221720.596401,134.0,377.0,-1512.0
1772221720.6044009,131.0,376.0,-1514.0
1772221720.6132758,129.0,376.0,-1514.0
1772221720.6212757,127.0,372.0,-1517.0
1772221720.6132758,125.0,369.0,-1517.0
1772221720.6212757,123.0,368.0,-1514.0
1772221720.6419766,121.0,365.0,-1512.0
1772221720.6499765,120.0,364.0,-1515.0
1772221720.6419766,119.0,363.0,-1519.0
1772221720.6499765,117.0,359.0,-1516.0
1772221720.6437018,116.0,358.0,-1515.0
1772221720.6517017,115.0,357.0,-1518.0
1772221720.6452553,113.0,355.0,-1518.0
1772221720.6532552,111.0,354.0,-1517.0
1772221720.646775,112.0,355.0,-1517.0
1772221720.654775,111.0,354.0,-1520.0
1772221720.647457,110.0,353.0,-1522.0
1772221720.6554568,110.0,352.0,-1520.0
1772221720.6489856,109.0,351.0,-1519.0
1772221720.6569855,109.0,350.0,-1521.0
1772221720.6520722,108.0,350.0,-1525.0
1772221720.660072,107.0,349.0,-1525.0
1772221720.665428,107.0,349.0,-1520.0
1772221720.6734278,107.0,348.0,-1523.0
1772221720.6707852,106.0,347.0,-1527.0
1772221720.678785,104.0,345.0,-1526.0
1772221720.6973581,102.0,345.0,-1521.0
1772221720.705358,104.0,345.0,-1519.0
1772221720.6973581,102.0,343.0,-1523.0
1772221720.705358,100.0,342.0,-1523.0
1772221720.735532,101.0,343.0,-1519.0
1772221720.743532,100.0,343.0,-1519.0
1772221720.735532,98.0,341.0,-1521.0
1772221720.743532,99.0,342.0,-1521.0
1772221720.735532,99.0,342.0,-1518.0
1772221720.743532,99.0,342.0,-1519.0
1772221720.738062,98.0,342.0,-1522.0
1772221720.7460618,98.0,341.0,-1524.0
1772221720.7383587,97.0,340.0,-1520.0
1772221720.7463586,97.0,341.0,-1516.0
1772221720.7383587,96.0,341.0,-1521.0
1772221720.7463586,96.0,340.0,-1521.0
1772221720.7398791,97.0,341.0,-1520.0
1772221720.747879,97.0,340.0,-1516.0
1772221720.7484732,97.0,340.0,-1518.0
1772221720.756473,97.0,340.0,-1521.0
1772221720.758079,96.0,339.0,-1521.0
1772221720.766079,96.0,338.0,-1517.0
1772221720.7658455,97.0,339.0,-1517.0
1772221720.7738454,99.0,341.0,-1519.0
1772221720.7835517,97.0,340.0,-1518.0
1772221720.7915516,96.0,338.0,-1513.0
1772221720.7854114,98.0,338.0,-1514.0
1772221720.7934113,100.0,341.0,-1517.0
1772221720.788499,100.0,342.0,-1519.0
1772221720.796499,100.0,341.0,-1516.0
1772221720.8279622,102.0,343.0,-1517.0
1772221720.835962,103.0,343.0,-1518.0
1772221720.829976,103.0,342.0,-1519.0
1772221720.837976,102.0,341.0,-1519.0
1772221720.8307219,101.0,341.0,-1517.0
1772221720.8387218,101.0,340.0,-1519.0
1772221720.8307219,102.0,340.0,-1521.0
1772221720.8387218,103.0,341.0,-1519.0
1772221720.832298,102.0,341.0,-1516.0
1772221720.840298,101.0,339.0,-1518.0
1772221720.8384612,102.0,341.0,-1520.0
1772221720.846461,101.0,339.0,-1519.0
1772221720.8444004,100.0,338.0,-1517.0
1772221720.8524003,100.0,339.0,-1518.0
1772221720.8536685,100.0,340.0,-1522.0
1772221720.8616683,101.0,339.0,-1520.0
1772221720.8716028,101.0,338.0,-1516.0
1772221720.8796027,101.0,340.0,-1514.0
1772221720.8768663,100.0,339.0,-1517.0
1772221720.8848662,100.0,338.0,-1514.0
1772221720.8768663,100.0,337.0,-1516.0
1772221720.8848662,100.0,339.0,-1516.0
1772221720.8859963,100.0,340.0,-1519.0
1772221720.8939962,100.0,340.0,-1520.0
1772221720.8942275,100.0,340.0,-1520.0
1772221720.9022274,99.0,339.0,-1521.0
1772221720.8999557,99.0,340.0,-1524.0
1772221720.9079556,100.0,339.0,-1525.0
1772221720.9225824,99.0,338.0,-1520.0
1772221720.9305823,98.0,338.0,-1517.0
1772221720.9348392,97.0,338.0,-1521.0
1772221720.9428391,97.0,338.0,-1523.0
1772221720.9363759,98.0,337.0,-1519.0
1772221720.9443758,97.0,338.0,-1516.0
1772221720.969319,97.0,338.0,-1517.0
1772221720.977319,98.0,339.0,-1521.0
1772221720.969319,99.0,340.0,-1518.0
1772221720.977319,97.0,339.0,-1516.0
1772221720.9713438,97.0,339.0,-1517.0
1772221720.9793437,99.0,340.0,-1521.0
1772221720.972076,97.0,338.0,-1519.0
1772221720.9800758,98.0,338.0,-1513.0
1772221720.972076,100.0,340.0,-1514.0
1772221720.9800758,97.0,339.0,-1517.0
1772221720.9736009,96.0,337.0,-1520.0
1772221720.9816008,96.0,337.0,-1516.0
1772221720.981262,97.0,338.0,-1516.0
1772221720.9892619,97.0,339.0,-1521.0
1772221720.9912486,97.0,338.0,-1520.0
1772221720.9992485,98.0,339.0,-1516.0
1772221720.9967346,97.0,339.0,-1514.0
1772221721.0047345,97.0,340.0,-1517.0
1772221721.0167654,98.0,340.0,-1518.0
1772221721.0247653,97.0,337.0,-1514.0
1772221721.022268,96.0,338.0,-1512.0
1772221721.030268,96.0,339.0,-1515.0
1772221721.0230277,96.0,339.0,-1517.0
1772221721.0310276,97.0,339.0,-1513.0
1772221721.0307508,99.0,340.0,-1511.0
1772221721.0387506,98.0,340.0,-1512.0
1772221721.0633123,98.0,342.0,-1514.0
1772221721.0713122,97.0,339.0,-1512.0
1772221721.0633123,95.0,338.0,-1512.0
1772221721.0713122,95.0,336.0,-1513.0
1772221721.0731318,93.0,334.0,-1515.0
1772221721.0811317,92.0,333.0,-1515.0
1772221721.0744488,92.0,334.0,-1512.0
1772221721.0824487,90.0,334.0,-1512.0
1772221721.0759711,88.0,331.0,-1516.0
1772221721.083971,88.0,331.0,-1515.0
1772221721.0775163,87.0,330.0,-1513.0
1772221721.0855162,87.0,330.0,-1513.0
1772221721.0835636,87.0,329.0,-1515.0
1772221721.0915635,87.0,329.0,-1513.0
1772221721.1000426,87.0,329.0,-1514.0
1772221721.1080425,86.0,329.0,-1515.0
1772221721.1100507,87.0,330.0,-1518.0
1772221721.1180506,87.0,330.0,-1518.0
1772221721.1115644,87.0,329.0,-1516.0
1772221721.1195643,86.0,329.0,-1514.0
1772221721.1289525,87.0,329.0,-1518.0
1772221721.1369524,87.0,330.0,-1520.0
1772221721.1293097,86.0,330.0,-1518.0
1772221721.1373096,88.0,330.0,-1515.0
1772221721.1324,88.0,331.0,-1516.0
1772221721.1404,87.0,331.0,-1522.0
1772221721.15094,86.0,329.0,-1519.0
1772221721.1589398,85.0,328.0,-1517.0
1772221721.1568227,85.0,329.0,-1519.0
1772221721.1648226,85.0,328.0,-1522.0
1772221721.1758533,85.0,328.0,-1521.0
1772221721.1838531,85.0,328.0,-1519.0
1772221721.1774666,84.0,328.0,-1519.0
1772221721.1854665,85.0,327.0,-1523.0
1772221721.185714,85.0,328.0,-1522.0
1772221721.193714,85.0,329.0,-1518.0
1772221721.203528,84.0,329.0,-1518.0
1772221721.2115278,84.0,329.0,-1521.0
1772221721.204712,85.0,329.0,-1521.0
1772221721.2127118,83.0,327.0,-1518.0
1772221721.2062426,84.0,326.0,-1519.0
1772221721.2142425,84.0,327.0,-1520.0
1772221721.232126,85.0,328.0,-1522.0
1772221721.240126,86.0,329.0,-1517.0
1772221721.240365,88.0,329.0,-1516.0
1772221721.248365,88.0,330.0,-1519.0
1772221721.2578506,88.0,330.0,-1520.0
1772221721.2658505,90.0,332.0,-1518.0
1772221721.2594712,88.0,332.0,-1515.0
1772221721.267471,91.0,333.0,-1515.0
1772221721.264876,93.0,334.0,-1519.0
1772221721.2728758,98.0,338.0,-1521.0
1772221721.266418,102.0,341.0,-1516.0
1772221721.2744179,105.0,348.0,-1518.0
1772221721.297496,104.0,348.0,-1521.0
1772221721.305496,111.0,350.0,-1519.0
1772221721.2982867,117.0,355.0,-1515.0
1772221721.3062866,121.0,359.0,-1515.0
1772221721.2982867,124.0,362.0,-1518.0
1772221721.3062866,133.0,369.0,-1516.0
1772221721.2998722,137.0,374.0,-1513.0
1772221721.307872,144.0,381.0,-1516.0
1772221721.3096921,156.0,390.0,-1519.0
1772221721.317692,166.0,397.0,-1518.0
1772221721.3112638,175.0,404.0,-1514.0
1772221721.3192637,181.0,409.0,-1513.0
1772221721.3134677,187.0,414.0,-1514.0
1772221721.3214676,190.0,420.0,-1515.0
1772221721.3145459,194.0,422.0,-1513.0
1772221721.3225458,197.0,425.0,-1512.0
1772221721.3160791,199.0,429.0,-1517.0
1772221721.324079,200.0,429.0,-1517.0
1772221721.3291273,204.0,431.0,-1512.0
1772221721.3371272,203.0,432.0,-1508.0
1772221721.3446372,201.0,431.0,-1515.0
1772221721.352637,201.0,429.0,-1517.0
1772221721.3495138,202.0,428.0,-1514.0
1772221721.3575137,202.0,430.0,-1510.0
1772221721.3618102,204.0,432.0,-1510.0
1772221721.36981,205.0,432.0,-1514.0
1772221721.3618102,199.0,427.0,-1514.0
1772221721.36981,196.0,425.0,-1511.0
1772221721.3648567,198.0,427.0,-1511.0
1772221721.3728566,195.0,423.0,-1512.0
1772221721.375459,194.0,421.0,-1513.0
1772221721.3834589,193.0,420.0,-1510.0
1772221721.3951585,191.0,419.0,-1510.0
1772221721.4031584,189.0,416.0,-1512.0
1772221721.4099698,189.0,414.0,-1512.0
1772221721.4179697,187.0,413.0,-1509.0
1772221721.41157,184.0,411.0,-1508.0
1772221721.41957,181.0,409.0,-1513.0
1772221721.4399173,182.0,410.0,-1515.0
1772221721.4479172,180.0,407.0,-1513.0
1772221721.4414737,178.0,407.0,-1512.0
1772221721.4494736,175.0,404.0,-1516.0
1772221721.444785,173.0,401.0,-1518.0
1772221721.452785,171.0,401.0,-1514.0
1772221721.4455073,170.0,400.0,-1513.0
1772221721.4535072,168.0,397.0,-1516.0
1772221721.448618,164.0,395.0,-1517.0
1772221721.4566178,163.0,394.0,-1515.0
1772221721.4502723,160.0,392.0,-1510.0
1772221721.4582722,160.0,393.0,-1512.0
1772221721.4533374,157.0,391.0,-1518.0
1772221721.4613373,155.0,387.0,-1517.0
1772221721.4626222,151.0,384.0,-1513.0
1772221721.470622,148.0,382.0,-1515.0
1772221721.4834585,150.0,383.0,-1519.0
1772221721.4914584,148.0,380.0,-1518.0
1772221721.4854598,142.0,374.0,-1514.0
1772221721.4934597,139.0,373.0,-1514.0
1772221721.4861777,137.0,373.0,-1517.0
1772221721.4941776,134.0,370.0,-1518.0
1772221721.4928973,132.0,368.0,-1516.0
1772221721.5008972,126.0,363.0,-1515.0
1772221721.5047321,123.0,361.0,-1518.0
1772221721.512732,122.0,360.0,-1517.0
1772221721.529383,120.0,358.0,-1515.0
1772221721.5373828,115.0,354.0,-1515.0
1772221721.5308979,111.0,351.0,-1517.0
1772221721.5388978,110.0,350.0,-1518.0
1772221721.55079,107.0,348.0,-1515.0
1772221721.55879,104.0,347.0,-1513.0
1772221721.5524492,103.0,346.0,-1515.0
1772221721.5604491,101.0,344.0,-1517.0
1772221721.553557,98.0,342.0,-1515.0
1772221721.5615568,98.0,341.0,-1512.0
1772221721.5542598,98.0,341.0,-1515.0
1772221721.5622597,97.0,340.0,-1518.0
1772221721.567613,96.0,339.0,-1513.0
1772221721.5756128,95.0,340.0,-1510.0
1772221721.578232,95.0,340.0,-1512.0
1772221721.586232,93.0,339.0,-1517.0
1772221721.5797374,93.0,339.0,-1514.0
1772221721.5877373,93.0,339.0,-1510.0
1772221721.5797374,93.0,339.0,-1512.0
