# team: unknown
# label: peace
# timestamp: 20260227_144634
# sample_rate: 250
# samples: 14410
# duration_sec: 57.636
# channels: EOG1,EOG2,EMG3
#
timestamp,EOG1,EOG2,EMG3
1772221536.7368188,127.0,536.0,-1582.0
1772221536.7448187,127.0,535.0,-1582.0
1772221536.7368188,130.0,536.0,-1582.0
1772221536.7448187,127.0,538.0,-1583.0
1772221536.7428744,127.0,538.0,-1583.0
1772221536.7508743,127.0,537.0,-1583.0
1772221536.7804732,127.0,535.0,-1583.0
1772221536.7884731,129.0,535.0,-1581.0
1772221536.7819798,132.0,540.0,-1581.0
1772221536.7899797,129.0,538.0,-1581.0
1772221536.7971375,127.0,532.0,-1581.0
1772221536.8051374,128.0,534.0,-1580.0
1772221536.7986836,127.0,536.0,-1580.0
1772221536.8066835,127.0,540.0,-1580.0
1772221536.8022242,126.0,541.0,-1580.0
1772221536.810224,126.0,541.0,-1580.0
1772221536.802596,123.0,542.0,-1579.0
1772221536.810596,116.0,535.0,-1580.0
1772221536.8041203,114.0,531.0,-1581.0
1772221536.8121202,111.0,533.0,-1580.0
1772221536.806138,113.0,538.0,-1577.0
1772221536.814138,114.0,534.0,-1578.0
1772221536.8243525,109.0,529.0,-1581.0
1772221536.8323524,103.0,530.0,-1580.0
1772221536.8263524,103.0,532.0,-1579.0
1772221536.8343523,102.0,536.0,-1580.0
1772221536.831029,102.0,534.0,-1578.0
1772221536.8390288,100.0,528.0,-1577.0
1772221536.8401031,98.0,529.0,-1578.0
1772221536.848103,98.0,530.0,-1578.0
1772221536.8471656,99.0,530.0,-1578.0
1772221536.8551655,98.0,529.0,-1578.0
1772221536.8711488,99.0,534.0,-1577.0
1772221536.8791487,100.0,535.0,-1576.0
1772221536.8762813,100.0,529.0,-1576.0
1772221536.8842812,98.0,527.0,-1575.0
1772221536.8915617,98.0,530.0,-1576.0
1772221536.8995616,100.0,532.0,-1574.0
1772221536.9254124,102.0,536.0,-1576.0
1772221536.9334123,99.0,537.0,-1576.0
1772221536.9254124,99.0,532.0,-1575.0
1772221536.9334123,99.0,530.0,-1577.0
1772221536.9575915,97.0,532.0,-1577.0
1772221536.9655914,99.0,534.0,-1578.0
1772221536.9716947,100.0,534.0,-1576.0
1772221536.9796946,102.0,533.0,-1574.0
1772221536.9872627,99.0,533.0,-1575.0
1772221536.9952626,97.0,531.0,-1575.0
1772221536.98826,94.0,529.0,-1574.0
1772221536.99626,94.0,528.0,-1574.0
1772221536.9892998,94.0,530.0,-1574.0
1772221536.9972997,96.0,530.0,-1575.0
1772221536.9900248,97.0,528.0,-1575.0
1772221536.9980247,97.0,528.0,-1575.0
1772221536.9900248,98.0,530.0,-1575.0
1772221536.9980247,98.0,529.0,-1574.0
1772221536.9900248,95.0,528.0,-1575.0
1772221536.9980247,98.0,530.0,-1576.0
1772221536.9920392,97.0,528.0,-1575.0
1772221537.000039,91.0,524.0,-1574.0
1772221537.0047493,93.0,523.0,-1575.0
1772221537.0127492,94.0,531.0,-1576.0
1772221537.0047493,95.0,532.0,-1578.0
1772221537.0127492,95.0,525.0,-1577.0
1772221537.017831,95.0,522.0,-1575.0
1772221537.025831,94.0,529.0,-1576.0
1772221537.0181553,91.0,532.0,-1580.0
1772221537.0261552,94.0,525.0,-1580.0
1772221537.030956,99.0,523.0,-1579.0
1772221537.038956,97.0,526.0,-1579.0
1772221537.0321758,96.0,523.0,-1580.0
1772221537.0401757,94.0,522.0,-1579.0
1772221537.0321758,96.0,523.0,-1581.0
1772221537.0401757,95.0,519.0,-1582.0
1772221537.0321758,95.0,517.0,-1583.0
1772221537.0401757,97.0,520.0,-1583.0
1772221537.0347059,96.0,523.0,-1581.0
1772221537.0427058,95.0,519.0,-1580.0
1772221537.0393238,97.0,517.0,-1583.0
