# team: Tok
# label: baseline
# timestamp: 20260227_120705
# sample_rate: 500
# samples: 31468
# duration_sec: 62.936
# channels: EOG1,EOG2
#
timestamp,EOG1,EOG2
1772211962.1284657,966.0,2182.0
1772211962.1311324,966.0,2182.0
1772211962.1337988,966.0,2182.0
1772211962.1364655,967.0,2182.0
1772211962.1385314,966.0,2182.0
1772211962.1411982,966.0,2182.0
1772211962.1438646,966.0,2182.0
1772211962.1465313,967.0,2182.0
1772211962.1385314,967.0,2182.0
1772211962.1411982,967.0,2183.0
1772211962.1438646,967.0,2183.0
1772211962.1465313,967.0,2182.0
1772211962.157843,967.0,2183.0
1772211962.1605098,966.0,2183.0
1772211962.1631763,967.0,2183.0
1772211962.165843,966.0,2182.0
1772211962.1596954,966.0,2182.0
1772211962.162362,967.0,2183.0
1772211962.1650286,967.0,2182.0
1772211962.1676953,966.0,2183.0
1772211962.1596954,967.0,2182.0
1772211962.162362,967.0,2182.0
1772211962.1650286,966.0,2182.0
1772211962.1676953,966.0,2182.0
1772211962.180985,966.0,2182.0
1772211962.1836517,967.0,2182.0
1772211962.1863182,967.0,2182.0
1772211962.1889849,967.0,2182.0
1772211962.1835005,966.0,2182.0
1772211962.1861672,966.0,2182.0
1772211962.1888337,966.0,2181.0
1772211962.1915004,966.0,2181.0
1772211962.1835005,966.0,2181.0
1772211962.1861672,966.0,2181.0
1772211962.1888337,966.0,2181.0
1772211962.1915004,966.0,2182.0
1772211962.2024872,966.0,2182.0
1772211962.205154,967.0,2183.0
1772211962.2078204,967.0,2183.0
1772211962.2104871,966.0,2183.0
1772211962.2045736,966.0,2183.0
1772211962.2072403,966.0,2183.0
1772211962.2099068,966.0,2182.0
1772211962.2125735,966.0,2181.0
1772211962.2086256,966.0,2181.0
1772211962.2112923,966.0,2182.0
1772211962.2139587,966.0,2182.0
1772211962.2166255,966.0,2182.0
1772211962.2268767,966.0,2182.0
1772211962.2295434,966.0,2182.0
1772211962.23221,967.0,2182.0
1772211962.2348766,966.0,2183.0
1772211962.2299306,966.0,2183.0
1772211962.2325974,966.0,2182.0
1772211962.2352638,965.0,2182.0
1772211962.2379305,965.0,2181.0
1772211962.2316234,966.0,2181.0
1772211962.2342901,965.0,2182.0
1772211962.2369566,965.0,2181.0
1772211962.2396233,966.0,2181.0
1772211962.2505317,966.0,2182.0
1772211962.2531984,966.0,2181.0
1772211962.2558649,965.0,2182.0
1772211962.2585316,965.0,2182.0
1772211962.2531438,965.0,2181.0
1772211962.2558105,964.0,2181.0
1772211962.258477,965.0,2181.0
1772211962.2611437,966.0,2181.0
1772211962.2648778,965.0,2182.0
1772211962.2675445,965.0,2181.0
1772211962.270211,965.0,2181.0
1772211962.2728777,964.0,2181.0
1772211962.2753105,964.0,2182.0
1772211962.2779772,964.0,2181.0
1772211962.2806437,964.0,2181.0
1772211962.2833104,964.0,2181.0
1772211962.2763164,964.0,2181.0
1772211962.278983,964.0,2181.0
1772211962.2816496,964.0,2181.0
1772211962.2843163,964.0,2181.0
1772211962.2796547,963.0,2181.0
1772211962.2823215,964.0,2181.0
1772211962.284988,964.0,2181.0
1772211962.2876546,964.0,2181.0
1772211962.2968693,963.0,2181.0
1772211962.299536,963.0,2181.0
1772211962.3022025,964.0,2181.0
1772211962.3048692,964.0,2181.0
1772211962.2983782,964.0,2181.0
1772211962.301045,964.0,2181.0
1772211962.3037114,964.0,2181.0
1772211962.3063781,965.0,2181.0
1772211962.3157485,966.0,2181.0
1772211962.3184152,967.0,2181.0
1772211962.3210816,966.0,2181.0
1772211962.3237484,966.0,2181.0
1772211962.3157485,966.0,2182.0
1772211962.3184152,967.0,2182.0
1772211962.3210816,966.0,2182.0
1772211962.3237484,966.0,2182.0
1772211962.3182595,967.0,2182.0
1772211962.3209262,967.0,2182.0
1772211962.3235927,966.0,2182.0
1772211962.3262594,965.0,2182.0
1772211962.3371456,966.0,2182.0
1772211962.3398123,966.0,2182.0
1772211962.3424788,966.0,2183.0
1772211962.3451455,965.0,2183.0
1772211962.3392375,966.0,2183.0
1772211962.3419042,966.0,2182.0
1772211962.3445706,966.0,2182.0
1772211962.3472373,966.0,2182.0
1772211962.3590066,966.0,2182.0
1772211962.3616734,966.0,2183.0
1772211962.3643398,966.0,2182.0
1772211962.3670065,966.0,2182.0
1772211962.360896,966.0,2182.0
1772211962.3635628,966.0,2182.0
1772211962.3662293,966.0,2182.0
1772211962.368896,966.0,2182.0
1772211962.360896,966.0,2182.0
1772211962.3635628,966.0,2182.0
1772211962.3662293,966.0,2182.0
1772211962.368896,966.0,2182.0
1772211962.3781817,965.0,2183.0
1772211962.3808484,966.0,2183.0
1772211962.383515,966.0,2182.0
1772211962.3861816,966.0,2181.0
1772211962.3802307,966.0,2181.0
1772211962.3828974,966.0,2182.0
1772211962.3855639,967.0,2182.0
1772211962.3882306,966.0,2183.0
1772211962.3832915,967.0,2183.0
1772211962.3859582,967.0,2182.0
1772211962.3886247,966.0,2182.0
1772211962.3912914,966.0,2183.0
1772211962.402611,968.0,2184.0
1772211962.4052777,967.0,2184.0
1772211962.4079442,967.0,2184.0
1772211962.410611,965.0,2182.0
1772211962.4036133,968.0,2186.0
1772211962.40628,972.0,2186.0
1772211962.4089465,970.0,2184.0
1772211962.4116132,969.0,2185.0
1772211962.4210484,972.0,2188.0
1772211962.423715,967.0,2185.0
1772211962.4263816,967.0,2187.0
1772211962.4290483,970.0,2186.0
1772211962.423587,969.0,2187.0
1772211962.4262538,972.0,2190.0
1772211962.4289203,975.0,2193.0
1772211962.431587,975.0,2194.0
1772211962.423587,975.0,2194.0
1772211962.4262538,975.0,2193.0
1772211962.4289203,976.0,2195.0
1772211962.431587,977.0,2197.0
1772211962.4428656,982.0,2198.0
1772211962.4455323,983.0,2201.0
1772211962.4481988,983.0,2203.0
1772211962.4508655,985.0,2206.0
1772211962.4789817,986.0,2210.0
1772211962.4816484,988.0,2209.0
1772211962.484315,991.0,2209.0
1772211962.4869816,994.0,2211.0
1772211962.4789817,994.0,2215.0
1772211962.4816484,996.0,2218.0
1772211962.484315,999.0,2218.0
1772211962.4869816,1002.0,2223.0
1772211962.481538,1004.0,2225.0
1772211962.4842048,1006.0,2228.0
1772211962.4868712,1008.0,2231.0
1772211962.489538,1011.0,2233.0
1772211962.4830494,1009.0,2235.0
1772211962.485716,1012.0,2237.0
1772211962.4883826,1016.0,2238.0
1772211962.4910493,1017.0,2240.0
1772211962.483558,1017.0,2243.0
1772211962.4862247,1020.0,2244.0
1772211962.4888911,1022.0,2246.0
1772211962.4915578,1024.0,2250.0
1772211962.4878638,1026.0,2251.0
1772211962.4905305,1027.0,2253.0
1772211962.493197,1029.0,2256.0
1772211962.4958637,1031.0,2253.0
1772211962.4889138,1030.0,2255.0
1772211962.4915805,1030.0,2255.0
