# team: unknown
# label: peace_baseline-EOG
# timestamp: 20260227_145324
# sample_rate: 250
# samples: 16300
# duration_sec: 65.202
# channels: EOG1,EOG2,EMG3
#
timestamp,EOG1,EOG2,EMG3
1772221939.6996732,45.0,251.0,-1866.0
1772221939.707673,47.0,252.0,-1860.0
1772221939.706901,45.0,251.0,-1861.0
1772221939.714901,44.0,250.0,-1865.0
1772221939.7339373,44.0,249.0,-1866.0
1772221939.7419372,45.0,251.0,-1859.0
1772221939.7339373,45.0,249.0,-1856.0
1772221939.7419372,45.0,249.0,-1862.0
1772221939.7357156,46.0,250.0,-1864.0
1772221939.7437155,46.0,250.0,-1859.0
1772221939.7615433,47.0,250.0,-1857.0
1772221939.7695432,45.0,249.0,-1860.0
1772221939.7804794,43.0,249.0,-1864.0
1772221939.7884793,43.0,251.0,-1860.0
1772221939.781988,45.0,253.0,-1855.0
1772221939.7899878,47.0,252.0,-1858.0
1772221939.781988,46.0,255.0,-1862.0
1772221939.7899878,45.0,253.0,-1860.0
1772221939.782997,45.0,249.0,-1856.0
1772221939.7909968,46.0,249.0,-1857.0
1772221939.782997,47.0,249.0,-1862.0
1772221939.7909968,46.0,247.0,-1859.0
1772221939.7909076,44.0,250.0,-1852.0
1772221939.7989075,43.0,251.0,-1856.0
1772221939.7959921,43.0,250.0,-1860.0
1772221939.803992,45.0,250.0,-1861.0
1772221939.8017035,46.0,252.0,-1854.0
1772221939.8097034,46.0,252.0,-1852.0
1772221939.814808,45.0,251.0,-1857.0
1772221939.8228078,46.0,250.0,-1858.0
1772221939.8270395,45.0,251.0,-1852.0
1772221939.8350394,44.0,252.0,-1849.0
1772221939.8285644,46.0,251.0,-1856.0
1772221939.8365643,45.0,250.0,-1857.0
1772221939.83439,43.0,251.0,-1853.0
1772221939.8423898,44.0,253.0,-1850.0
1772221939.8432074,44.0,251.0,-1855.0
1772221939.8512073,42.0,249.0,-1858.0
1772221939.8520358,43.0,250.0,-1852.0
1772221939.8600357,44.0,250.0,-1849.0
1772221939.8842592,44.0,253.0,-1853.0
1772221939.8922591,44.0,253.0,-1856.0
1772221939.886849,45.0,250.0,-1852.0
1772221939.8948488,43.0,253.0,-1849.0
1772221939.8976073,43.0,253.0,-1850.0
1772221939.9056072,43.0,252.0,-1854.0
1772221939.8992946,43.0,251.0,-1852.0
1772221939.9072945,45.0,249.0,-1846.0
1772221939.9015622,45.0,249.0,-1849.0
1772221939.909562,43.0,250.0,-1853.0
1772221939.9208722,43.0,253.0,-1851.0
1772221939.928872,44.0,251.0,-1849.0
1772221939.9284382,43.0,249.0,-1847.0
1772221939.936438,42.0,249.0,-1852.0
1772221939.9284382,43.0,250.0,-1853.0
1772221939.936438,41.0,250.0,-1847.0
1772221939.929437,41.0,250.0,-1849.0
1772221939.9374368,40.0,249.0,-1853.0
1772221939.9308527,39.0,250.0,-1855.0
1772221939.9388525,40.0,252.0,-1851.0
1772221939.9397118,42.0,246.0,-1849.0
1772221939.9477117,41.0,248.0,-1854.0
1772221939.9454725,38.0,248.0,-1858.0
1772221939.9534724,36.0,245.0,-1854.0
1772221939.9666417,35.0,244.0,-1848.0
1772221939.9746416,36.0,243.0,-1852.0
1772221939.9737015,36.0,245.0,-1857.0
1772221939.9817014,34.0,246.0,-1854.0
1772221939.9737015,35.0,246.0,-1849.0
1772221939.9817014,31.0,243.0,-1852.0
1772221940.011795,30.0,241.0,-1858.0
1772221940.019795,31.0,242.0,-1855.0
1772221940.011795,31.0,239.0,-1851.0
1772221940.019795,27.0,237.0,-1853.0
1772221940.0229561,25.0,241.0,-1859.0
1772221940.030956,25.0,240.0,-1858.0
1772221940.023637,28.0,240.0,-1852.0
1772221940.031637,27.0,240.0,-1852.0
1772221940.0267968,27.0,240.0,-1859.0
1772221940.0347967,25.0,240.0,-1860.0
1772221940.0267968,23.0,237.0,-1855.0
1772221940.0347967,23.0,234.0,-1855.0
1772221940.0278046,23.0,231.0,-1859.0
1772221940.0358045,21.0,232.0,-1862.0
1772221940.036056,19.0,232.0,-1857.0
1772221940.044056,18.0,233.0,-1855.0
1772221940.055334,17.0,230.0,-1862.0
1772221940.063334,18.0,229.0,-1864.0
1772221940.063122,19.0,228.0,-1859.0
1772221940.071122,19.0,227.0,-1856.0
1772221940.063122,18.0,228.0,-1858.0
1772221940.071122,16.0,229.0,-1862.0
1772221940.0699499,16.0,230.0,-1859.0
1772221940.0779498,17.0,229.0,-1853.0
1772221940.0760696,20.0,229.0,-1857.0
1772221940.0840695,20.0,229.0,-1861.0
1772221940.0817425,19.0,230.0,-1861.0
1772221940.0897424,17.0,231.0,-1856.0
1772221940.1175618,18.0,232.0,-1855.0
1772221940.1255617,18.0,233.0,-1861.0
1772221940.1186638,17.0,233.0,-1861.0
1772221940.1266637,17.0,230.0,-1855.0
1772221940.1533406,19.0,231.0,-1853.0
1772221940.1613405,19.0,230.0,-1858.0
1772221940.1754,18.0,228.0,-1859.0
1772221940.1834,18.0,231.0,-1854.0
1772221940.1762567,19.0,232.0,-1852.0
1772221940.1842566,18.0,232.0,-1857.0
1772221940.1813564,18.0,233.0,-1858.0
1772221940.1893563,19.0,232.0,-1855.0
1772221940.1829863,19.0,230.0,-1851.0
1772221940.1909862,19.0,232.0,-1856.0
1772221940.1842551,19.0,231.0,-1858.0
1772221940.192255,21.0,232.0,-1853.0
1772221940.191953,20.0,234.0,-1851.0
1772221940.1999528,20.0,235.0,-1852.0
