# team: unknown
# label: peace_baseline-EOG
# timestamp: 20260227_150028
# sample_rate: 250
# samples: 14044
# duration_sec: 61.995
# channels: EOG1,EOG2,EMG3
#
timestamp,EOG1,EOG2,EMG3
1772222366.3362775,15.0,205.0,-1493.0
1772222366.3442774,16.0,206.0,-1487.0
1772222366.3414998,16.0,205.0,-1479.0
1772222366.3494997,16.0,204.0,-1483.0
1772222366.344081,16.0,205.0,-1486.0
1772222366.3520808,16.0,205.0,-1477.0
1772222366.3474536,16.0,206.0,-1472.0
1772222366.3554535,16.0,207.0,-1478.0
1772222366.3504097,15.0,205.0,-1485.0
1772222366.3584096,17.0,206.0,-1482.0
1772222366.3515074,15.0,204.0,-1479.0
1772222366.3595073,15.0,206.0,-1485.0
1772222366.3547058,16.0,204.0,-1494.0
1772222366.3627057,17.0,205.0,-1492.0
1772222366.3576696,15.0,207.0,-1488.0
1772222366.3656695,14.0,204.0,-1490.0
1772222366.3737142,16.0,205.0,-1495.0
1772222366.381714,15.0,205.0,-1493.0
1772222366.4095483,16.0,204.0,-1490.0
1772222366.4175482,15.0,205.0,-1489.0
1772222366.4596717,16.0,206.0,-1494.0
1772222366.4676716,16.0,204.0,-1499.0
1772222366.4616747,15.0,205.0,-1494.0
1772222366.4696746,15.0,205.0,-1494.0
1772222366.4636304,18.0,206.0,-1500.0
1772222366.4716303,15.0,206.0,-1503.0
1772222366.4652448,15.0,203.0,-1499.0
1772222366.4732447,15.0,206.0,-1497.0
1772222366.466863,16.0,204.0,-1506.0
1772222366.4748628,16.0,206.0,-1509.0
1772222366.4688647,17.0,206.0,-1502.0
1772222366.4768646,15.0,206.0,-1499.0
1772222366.4702868,15.0,205.0,-1501.0
1772222366.4782867,16.0,203.0,-1504.0
1772222366.471818,19.0,205.0,-1500.0
1772222366.4798179,16.0,206.0,-1492.0
1772222366.4733133,16.0,204.0,-1491.0
1772222366.4813132,15.0,205.0,-1495.0
1772222366.4743874,16.0,209.0,-1492.0
1772222366.4823873,19.0,207.0,-1488.0
1772222366.4764166,17.0,205.0,-1486.0
1772222366.4844165,14.0,205.0,-1493.0
1772222366.478701,17.0,205.0,-1491.0
1772222366.486701,17.0,205.0,-1487.0
1772222366.4812894,17.0,205.0,-1486.0
1772222366.4892893,17.0,206.0,-1490.0
1772222366.4840946,18.0,208.0,-1491.0
1772222366.4920945,17.0,207.0,-1484.0
1772222366.486669,19.0,206.0,-1483.0
1772222366.494669,18.0,205.0,-1490.0
1772222366.4896936,19.0,206.0,-1490.0
1772222366.4976935,20.0,207.0,-1485.0
1772222366.4911394,20.0,208.0,-1485.0
1772222366.4991393,21.0,206.0,-1491.0
1772222366.4941907,21.0,206.0,-1496.0
1772222366.5021906,20.0,208.0,-1493.0
1772222366.4966948,18.0,206.0,-1492.0
1772222366.5046947,20.0,208.0,-1498.0
1772222366.4979794,20.0,207.0,-1505.0
1772222366.5059793,19.0,206.0,-1505.0
1772222366.5089192,21.0,207.0,-1497.0
1772222366.5169191,21.0,206.0,-1499.0
1772222366.5564587,21.0,205.0,-1504.0
1772222366.5644586,22.0,208.0,-1502.0
1772222366.5676405,22.0,208.0,-1497.0
1772222366.5756404,20.0,208.0,-1500.0
1772222366.6101997,22.0,208.0,-1510.0
1772222366.6181996,24.0,207.0,-1511.0
1772222366.6391788,24.0,207.0,-1508.0
1772222366.6471786,23.0,210.0,-1508.0
1772222366.6407459,20.0,209.0,-1514.0
1772222366.6487458,21.0,207.0,-1515.0
1772222366.642891,22.0,208.0,-1512.0
1772222366.6508908,22.0,208.0,-1510.0
1772222366.6445506,23.0,209.0,-1514.0
1772222366.6525505,21.0,206.0,-1512.0
1772222366.645935,20.0,208.0,-1504.0
1772222366.653935,20.0,208.0,-1498.0
1772222366.6504867,21.0,207.0,-1505.0
1772222366.6584866,21.0,208.0,-1506.0
1772222366.652334,20.0,207.0,-1501.0
1772222366.6603339,20.0,207.0,-1493.0
1772222366.654366,21.0,208.0,-1495.0
1772222366.662366,21.0,207.0,-1495.0
1772222366.656338,19.0,208.0,-1489.0
1772222366.6643379,20.0,207.0,-1486.0
1772222366.6586335,23.0,208.0,-1488.0
1772222366.6666334,20.0,208.0,-1492.0
1772222366.6621487,22.0,209.0,-1490.0
1772222366.6701486,22.0,208.0,-1487.0
1772222366.6642218,23.0,208.0,-1487.0
1772222366.6722217,21.0,208.0,-1493.0
1772222366.6793954,22.0,209.0,-1492.0
1772222366.6873953,21.0,207.0,-1489.0
1772222366.7036223,21.0,207.0,-1490.0
1772222366.7116222,21.0,209.0,-1494.0
1772222366.7282345,19.0,207.0,-1494.0
1772222366.7362344,21.0,208.0,-1490.0
1772222366.7375512,21.0,208.0,-1490.0
1772222366.745551,20.0,208.0,-1494.0
1772222366.7395594,20.0,207.0,-1494.0
1772222366.7475593,20.0,208.0,-1490.0
1772222366.757653,20.0,209.0,-1487.0
1772222366.765653,20.0,208.0,-1488.0
1772222366.7596297,21.0,208.0,-1492.0
1772222366.7676296,20.0,208.0,-1491.0
1772222366.76137,20.0,208.0,-1490.0
1772222366.7693698,19.0,208.0,-1495.0
1772222366.7628634,20.0,207.0,-1503.0
1772222366.7708633,18.0,207.0,-1501.0
1772222366.7643108,19.0,208.0,-1498.0
1772222366.7723107,20.0,206.0,-1502.0
1772222366.7660627,17.0,206.0,-1508.0
1772222366.7740626,18.0,207.0,-1506.0
1772222366.7702904,18.0,208.0,-1503.0
1772222366.7782903,19.0,206.0,-1501.0
1772222366.7726843,18.0,206.0,-1503.0
1772222366.7806842,19.0,207.0,-1502.0
1772222366.7755697,20.0,207.0,-1495.0
1772222366.7835696,20.0,207.0,-1493.0
1772222366.777805,19.0,207.0,-1496.0
1772222366.785805,18.0,206.0,-1495.0
1772222366.7798498,21.0,206.0,-1490.0
1772222366.7878497,20.0,207.0,-1487.0
1772222366.7818563,18.0,208.0,-1489.0
1772222366.7898562,18.0,207.0,-1491.0
1772222366.784315,18.0,205.0,-1484.0
1772222366.792315,19.0,206.0,-1483.0
1772222366.786294,19.0,206.0,-1486.0
1772222366.7942939,19.0,206.0,-1492.0
1772222366.8024302,19.0,206.0,-1489.0
1772222366.81043,20.0,208.0,-1490.0
1772222366.8276596,19.0,208.0,-1493.0
1772222366.8356595,20.0,207.0,-1498.0
1772222366.8512182,20.0,208.0,-1493.0
1772222366.8592181,19.0,207.0,-1484.0
1772222366.853764,19.0,206.0,-1485.0
1772222366.861764,18.0,207.0,-1490.0
1772222366.8613038,17.0,208.0,-1486.0
1772222366.8693037,19.0,208.0,-1482.0
1772222366.878562,18.0,205.0,-1486.0
1772222366.8865619,20.0,206.0,-1492.0
1772222366.8799238,21.0,208.0,-1490.0
1772222366.8879237,19.0,207.0,-1486.0
1772222366.8814993,18.0,205.0,-1485.0
1772222366.8894992,20.0,207.0,-1492.0
1772222366.8830838,21.0,207.0,-1497.0
1772222366.8910837,18.0,207.0,-1493.0
1772222366.8847911,18.0,206.0,-1491.0
1772222366.892791,18.0,207.0,-1500.0
1772222366.8868454,18.0,209.0,-1502.0
1772222366.8948452,18.0,205.0,-1501.0
1772222366.8883996,17.0,205.0,-1500.0
1772222366.8963995,19.0,207.0,-1504.0
1772222366.8919177,19.0,207.0,-1509.0
1772222366.8999176,19.0,207.0,-1506.0
1772222366.8952096,20.0,207.0,-1501.0
1772222366.9032094,20.0,206.0,-1504.0
1772222366.897788,18.0,206.0,-1506.0
1772222366.905788,19.0,207.0,-1506.0
1772222366.900443,18.0,206.0,-1498.0
1772222366.908443,19.0,208.0,-1498.0
1772222366.9014285,19.0,208.0,-1500.0
1772222366.9094284,20.0,208.0,-1498.0
1772222366.9198296,21.0,207.0,-1488.0
1772222366.9278295,22.0,208.0,-1492.0
1772222366.942762,21.0,209.0,-1501.0
1772222366.9507618,19.0,209.0,-1499.0
1772222366.9670212,18.0,206.0,-1492.0
1772222366.9750211,19.0,206.0,-1488.0
1772222366.9766238,20.0,208.0,-1492.0
1772222366.9846237,21.0,209.0,-1491.0
1772222367.0080276,21.0,209.0,-1488.0
1772222367.0160275,19.0,207.0,-1487.0
1772222367.0102441,20.0,207.0,-1493.0
1772222367.018244,20.0,207.0,-1495.0
1772222367.0122466,21.0,207.0,-1491.0
1772222367.0202465,21.0,207.0,-1489.0
1772222367.0138564,21.0,209.0,-1496.0
1772222367.0218563,21.0,208.0,-1502.0
1772222367.01543,23.0,209.0,-1498.0
1772222367.0234299,21.0,207.0,-1495.0
1772222367.0175004,20.0,209.0,-1499.0
1772222367.0255003,22.0,209.0,-1505.0
1772222367.018497,21.0,208.0,-1501.0
1772222367.026497,23.0,209.0,-1498.0
1772222367.021326,21.0,210.0,-1501.0
1772222367.029326,21.0,209.0,-1505.0
1772222367.0233543,23.0,208.0,-1501.0
1772222367.0313542,24.0,210.0,-1497.0
1772222367.0248523,21.0,209.0,-1497.0
1772222367.0328522,22.0,208.0,-1501.0
1772222367.028385,22.0,209.0,-1500.0
1772222367.0363848,22.0,209.0,-1497.0
1772222367.031434,21.0,209.0,-1497.0
