# team: unknown
# label: peace
# timestamp: 20260227_145040
# sample_rate: 250
# samples: 15152
# duration_sec: 60.606
# channels: EOG1,EOG2,EMG3
#
timestamp,EOG1,EOG2,EMG3
1772221779.8744092,77.0,289.0,-1451.0
1772221779.882409,77.0,289.0,-1449.0
1772221779.8757062,80.0,291.0,-1452.0
1772221779.883706,76.0,290.0,-1450.0
1772221779.883887,71.0,288.0,-1446.0
1772221779.891887,72.0,290.0,-1449.0
1772221779.8928268,76.0,290.0,-1455.0
1772221779.9008267,75.0,288.0,-1457.0
1772221779.9023433,73.0,289.0,-1455.0
1772221779.9103432,75.0,293.0,-1456.0
1772221779.9266303,79.0,297.0,-1463.0
1772221779.9346302,82.0,294.0,-1467.0
1772221779.9384193,81.0,289.0,-1467.0
1772221779.9464192,80.0,291.0,-1467.0
1772221779.9402335,78.0,289.0,-1471.0
1772221779.9482334,76.0,290.0,-1477.0
1772221779.9535766,77.0,292.0,-1476.0
1772221779.9615765,81.0,293.0,-1473.0
1772221779.9740462,83.0,294.0,-1479.0
1772221779.9820461,79.0,294.0,-1483.0
1772221779.9744663,80.0,295.0,-1482.0
1772221779.9824662,83.0,293.0,-1481.0
1772221779.9744663,84.0,294.0,-1483.0
1772221779.9824662,79.0,295.0,-1483.0
1772221779.976238,77.0,294.0,-1484.0
1772221779.984238,78.0,293.0,-1480.0
1772221779.9768827,81.0,291.0,-1481.0
1772221779.9848826,78.0,289.0,-1484.0
1772221779.9799821,75.0,298.0,-1482.0
1772221779.987982,78.0,299.0,-1477.0
1772221779.989951,75.0,292.0,-1477.0
1772221779.9979508,68.0,287.0,-1477.0
1772221779.9960935,72.0,291.0,-1479.0
1772221780.0040934,76.0,291.0,-1475.0
1772221780.0189247,70.0,295.0,-1474.0
1772221780.0269246,69.0,291.0,-1473.0
1772221780.0202267,80.0,283.0,-1473.0
1772221780.0282266,75.0,287.0,-1469.0
1772221780.0202267,68.0,290.0,-1465.0
1772221780.0282266,66.0,292.0,-1469.0
1772221780.0298731,66.0,290.0,-1468.0
1772221780.037873,72.0,282.0,-1465.0
1772221780.0652764,74.0,287.0,-1463.0
1772221780.0732763,67.0,289.0,-1465.0
1772221780.0652764,70.0,294.0,-1464.0
1772221780.0732763,73.0,289.0,-1463.0
1772221780.06729,74.0,290.0,-1460.0
1772221780.07529,72.0,292.0,-1463.0
1772221780.0679505,71.0,293.0,-1469.0
1772221780.0759504,74.0,294.0,-1467.0
1772221780.0695155,73.0,290.0,-1464.0
1772221780.0775154,75.0,292.0,-1464.0
1772221780.0761716,77.0,290.0,-1471.0
1772221780.0841715,77.0,294.0,-1472.0
1772221780.1074302,74.0,297.0,-1470.0
1772221780.11543,73.0,290.0,-1472.0
1772221780.1074302,73.0,289.0,-1477.0
1772221780.11543,73.0,294.0,-1476.0
1772221780.1586747,74.0,294.0,-1474.0
1772221780.1666746,76.0,293.0,-1476.0
1772221780.1762009,79.0,294.0,-1480.0
1772221780.1842008,76.0,295.0,-1481.0
1772221780.2061455,74.0,295.0,-1479.0
1772221780.2141454,76.0,293.0,-1479.0
1772221780.2061455,78.0,292.0,-1485.0
1772221780.2141454,75.0,296.0,-1487.0
1772221780.2082064,72.0,297.0,-1485.0
1772221780.2162063,73.0,295.0,-1487.0
1772221780.2089708,71.0,293.0,-1492.0
