# team: Tok
# label: raise_eyebrow
# timestamp: 20260227_123149
# sample_rate: 500
# samples: 30496
# duration_sec: 61.001
# channels: EOG1,EOG2
#
timestamp,EOG1,EOG2
1772213448.6712377,588.0,1311.0
1772213448.6739044,587.0,1310.0
1772213448.676571,587.0,1310.0
1772213448.6792376,587.0,1311.0
1772213448.690075,588.0,1311.0
1772213448.6927416,587.0,1309.0
1772213448.695408,587.0,1308.0
1772213448.6980748,588.0,1308.0
1772213448.6914437,587.0,1308.0
1772213448.6941104,587.0,1308.0
1772213448.6967769,586.0,1307.0
1772213448.6994436,585.0,1306.0
1772213448.7070343,584.0,1305.0
1772213448.709701,583.0,1303.0
1772213448.7123675,583.0,1304.0
1772213448.7150342,583.0,1305.0
1772213448.7087445,583.0,1305.0
1772213448.7114112,583.0,1304.0
1772213448.7140777,583.0,1304.0
1772213448.7167444,583.0,1304.0
1772213448.7464247,583.0,1303.0
1772213448.7490914,582.0,1302.0
1772213448.7517579,581.0,1301.0
1772213448.7544246,580.0,1301.0
1772213448.7469292,580.0,1301.0
1772213448.7495959,580.0,1301.0
1772213448.7522624,580.0,1301.0
1772213448.754929,579.0,1299.0
1772213448.7483933,578.0,1298.0
1772213448.75106,578.0,1298.0
1772213448.7537265,578.0,1298.0
1772213448.7563932,578.0,1298.0
1772213448.7483933,578.0,1296.0
1772213448.75106,577.0,1296.0
1772213448.7537265,578.0,1297.0
1772213448.7563932,578.0,1297.0
1772213448.7498589,576.0,1296.0
1772213448.7525256,575.0,1295.0
1772213448.755192,573.0,1294.0
1772213448.7578588,573.0,1294.0
1772213448.7590601,573.0,1294.0
1772213448.7617269,574.0,1294.0
1772213448.7643933,573.0,1293.0
1772213448.76706,574.0,1293.0
1772213448.761637,574.0,1293.0
1772213448.7643037,575.0,1292.0
1772213448.7669702,573.0,1291.0
1772213448.7696369,572.0,1290.0
1772213448.76397,570.0,1290.0
1772213448.7666366,569.0,1291.0
1772213448.769303,570.0,1290.0
1772213448.7719698,570.0,1290.0
1772213448.8017614,569.0,1290.0
1772213448.804428,570.0,1289.0
1772213448.8070946,571.0,1288.0
1772213448.8097613,570.0,1287.0
1772213448.804306,570.0,1286.0
1772213448.8069727,571.0,1286.0
1772213448.8096392,569.0,1286.0
1772213448.812306,568.0,1286.0
1772213448.8062196,568.0,1285.0
1772213448.8088863,567.0,1285.0
1772213448.8115528,567.0,1286.0
1772213448.8142195,566.0,1285.0
1772213448.8077652,566.0,1285.0
1772213448.810432,566.0,1284.0
1772213448.8130984,565.0,1283.0
1772213448.8157651,565.0,1283.0
1772213448.8087733,564.0,1284.0
1772213448.81144,565.0,1283.0
1772213448.8141065,565.0,1282.0
1772213448.8167732,564.0,1281.0
1772213448.8120174,563.0,1280.0
1772213448.8146842,563.0,1279.0
1772213448.8173506,563.0,1279.0
1772213448.8200173,563.0,1279.0
1772213448.8340464,563.0,1278.0
1772213448.836713,562.0,1278.0
1772213448.8393795,562.0,1278.0
1772213448.8420463,561.0,1277.0
1772213448.8361037,561.0,1277.0
1772213448.8387704,561.0,1277.0
1772213448.8414369,561.0,1277.0
1772213448.8441036,561.0,1277.0
1772213448.8497298,560.0,1276.0
1772213448.8523965,560.0,1275.0
1772213448.855063,559.0,1275.0
1772213448.8577297,559.0,1274.0
1772213448.8522904,558.0,1274.0
1772213448.854957,559.0,1274.0
1772213448.8576236,558.0,1274.0
1772213448.8602903,558.0,1274.0
1772213448.8522904,558.0,1273.0
1772213448.854957,558.0,1273.0
1772213448.8576236,558.0,1272.0
1772213448.8602903,557.0,1271.0
1772213448.882026,556.0,1271.0
