# team: Tok
# label: both_blink
# timestamp: 20260227_123537
# sample_rate: 500
# samples: 32316
# duration_sec: 64.629
# channels: EOG1,EOG2
#
timestamp,EOG1,EOG2
1772213673.2336664,373.0,810.0
1772213673.2363331,373.0,810.0
1772213673.2389996,373.0,810.0
1772213673.2416663,373.0,809.0
1772213673.237593,373.0,809.0
1772213673.2402596,372.0,809.0
1772213673.2429261,373.0,810.0
1772213673.2455928,373.0,810.0
1772213673.2401152,373.0,810.0
1772213673.2427819,372.0,809.0
1772213673.2454484,372.0,809.0
1772213673.248115,372.0,809.0
1772213673.2401152,371.0,808.0
1772213673.2427819,371.0,808.0
1772213673.2454484,372.0,809.0
1772213673.248115,372.0,809.0
1772213673.2976134,372.0,809.0
1772213673.30028,372.0,809.0
1772213673.3029466,372.0,809.0
1772213673.3056133,372.0,809.0
1772213673.2985828,372.0,809.0
1772213673.3012495,372.0,808.0
1772213673.303916,372.0,808.0
1772213673.3065827,371.0,809.0
1772213673.2995877,372.0,809.0
1772213673.3022544,372.0,809.0
1772213673.304921,372.0,809.0
1772213673.3075876,372.0,809.0
1772213673.303025,372.0,809.0
1772213673.3056917,372.0,808.0
1772213673.3083582,372.0,809.0
1772213673.311025,373.0,810.0
1772213673.3044846,373.0,810.0
1772213673.3071513,372.0,811.0
1772213673.3098178,372.0,811.0
1772213673.3124845,372.0,810.0
1772213673.3054953,372.0,810.0
1772213673.308162,372.0,810.0
1772213673.3108284,372.0,809.0
1772213673.3134952,372.0,810.0
1772213673.3325295,373.0,810.0
1772213673.3351963,372.0,810.0
1772213673.3378627,372.0,810.0
1772213673.3405294,373.0,809.0
1772213673.3352387,373.0,809.0
1772213673.3379054,372.0,809.0
1772213673.3405719,372.0,808.0
1772213673.3432386,372.0,809.0
1772213673.3352387,373.0,809.0
1772213673.3379054,372.0,809.0
1772213673.3405719,372.0,810.0
1772213673.3432386,372.0,810.0
1772213673.3376567,372.0,809.0
1772213673.3403234,372.0,809.0
1772213673.34299,372.0,809.0
1772213673.3456566,372.0,810.0
1772213673.3376567,372.0,810.0
1772213673.3403234,373.0,811.0
1772213673.34299,373.0,811.0
1772213673.3456566,373.0,811.0
1772213673.3403568,373.0,810.0
1772213673.3430235,373.0,810.0
1772213673.34569,372.0,810.0
1772213673.3483567,374.0,811.0
1772213673.3569221,373.0,811.0
1772213673.3595889,373.0,811.0
1772213673.3622553,374.0,811.0
1772213673.364922,375.0,811.0
1772213673.358277,375.0,812.0
1772213673.3609438,374.0,812.0
1772213673.3636103,374.0,811.0
1772213673.366277,374.0,810.0
1772213673.3916545,375.0,811.0
1772213673.3943212,375.0,812.0
1772213673.3969877,376.0,813.0
1772213673.3996544,376.0,813.0
1772213673.392359,375.0,812.0
1772213673.3950257,373.0,812.0
1772213673.3976922,374.0,812.0
1772213673.400359,374.0,812.0
1772213673.3939228,373.0,812.0
1772213673.3965895,374.0,812.0
1772213673.399256,374.0,812.0
1772213673.4019227,374.0,812.0
1772213673.396576,374.0,812.0
1772213673.3992426,374.0,812.0
1772213673.401909,374.0,812.0
1772213673.4045758,374.0,812.0
1772213673.425722,375.0,812.0
1772213673.4283886,375.0,812.0
1772213673.431055,375.0,813.0
1772213673.4337218,375.0,814.0
1772213673.4270658,375.0,813.0
1772213673.4297326,374.0,813.0
1772213673.432399,374.0,813.0
1772213673.4350657,374.0,812.0
1772213673.4295807,373.0,812.0
1772213673.4322474,374.0,812.0
1772213673.4349139,374.0,813.0
1772213673.4375806,374.0,813.0
1772213673.4295807,374.0,813.0
1772213673.4322474,374.0,812.0
1772213673.4349139,374.0,812.0
1772213673.4375806,374.0,813.0
1772213673.4320264,373.0,812.0
1772213673.434693,373.0,812.0
1772213673.4373596,373.0,812.0
1772213673.4400263,373.0,812.0
1772213673.4424076,372.0,812.0
1772213673.4450743,372.0,812.0
1772213673.4477408,372.0,811.0
1772213673.4504075,373.0,811.0
1772213673.444778,372.0,811.0
1772213673.4474447,372.0,811.0
1772213673.4501112,372.0,812.0
1772213673.4527779,373.0,812.0
1772213673.481537,373.0,812.0
1772213673.4842038,372.0,811.0
1772213673.4868703,371.0,811.0
1772213673.489537,371.0,811.0
1772213673.482311,371.0,811.0
1772213673.4849777,372.0,810.0
1772213673.4876442,372.0,811.0
1772213673.490311,372.0,811.0
1772213673.482311,372.0,811.0
1772213673.4849777,372.0,811.0
1772213673.4876442,372.0,811.0
1772213673.490311,371.0,811.0
1772213673.4850857,371.0,811.0
1772213673.4877524,370.0,810.0
1772213673.490419,371.0,810.0
1772213673.4930856,371.0,810.0
1772213673.4875803,371.0,810.0
1772213673.490247,371.0,810.0
1772213673.4929135,371.0,811.0
1772213673.4955802,371.0,810.0
1772213673.5179613,370.0,810.0
1772213673.520628,371.0,809.0
1772213673.5232944,371.0,810.0
1772213673.5259612,371.0,810.0
1772213673.5179613,372.0,811.0
1772213673.520628,372.0,811.0
1772213673.5232944,371.0,811.0
1772213673.5259612,371.0,811.0
1772213673.5200095,371.0,810.0
1772213673.5226762,370.0,809.0
1772213673.5253427,370.0,809.0
1772213673.5280094,370.0,809.0
1772213673.5200095,370.0,810.0
1772213673.5226762,370.0,810.0
1772213673.5253427,369.0,810.0
1772213673.5280094,369.0,810.0
1772213673.5306048,370.0,810.0
1772213673.5332716,370.0,809.0
1772213673.535938,370.0,809.0
1772213673.5386047,370.0,810.0
1772213673.5335698,370.0,810.0
1772213673.5362365,371.0,811.0
1772213673.538903,371.0,811.0
1772213673.5415697,370.0,810.0
1772213673.568639,370.0,810.0
1772213673.5713058,370.0,809.0
1772213673.5739722,369.0,809.0
1772213673.576639,368.0,808.0
1772213673.568639,368.0,809.0
1772213673.5713058,369.0,809.0
1772213673.5739722,369.0,810.0
1772213673.576639,369.0,810.0
1772213673.568639,369.0,809.0
1772213673.5713058,368.0,809.0
1772213673.5739722,368.0,809.0
1772213673.576639,368.0,809.0
1772213673.5713644,369.0,808.0
1772213673.574031,370.0,809.0
1772213673.5766976,369.0,809.0
1772213673.5793643,369.0,809.0
1772213673.573891,368.0,809.0
1772213673.5765576,367.0,809.0
1772213673.579224,367.0,809.0
1772213673.5818908,367.0,808.0
1772213673.5771265,368.0,808.0
1772213673.5797932,368.0,808.0
1772213673.5824597,368.0,809.0
1772213673.5851264,368.0,809.0
1772213673.6157415,368.0,808.0
1772213673.6184082,368.0,808.0
1772213673.6210747,368.0,807.0
1772213673.6237414,367.0,807.0
1772213673.6173244,367.0,807.0
1772213673.619991,367.0,807.0
1772213673.6226575,367.0,808.0
1772213673.6253242,368.0,809.0
1772213673.6199136,368.0,809.0
1772213673.6225803,367.0,808.0
1772213673.6252468,366.0,808.0
1772213673.6279135,367.0,808.0
1772213673.6209176,367.0,807.0
1772213673.6235843,366.0,807.0
1772213673.6262507,366.0,807.0
1772213673.6289175,366.0,808.0
1772213673.6209176,366.0,808.0
1772213673.6235843,366.0,808.0
1772213673.6262507,366.0,807.0
1772213673.6289175,366.0,807.0
1772213673.6580803,366.0,807.0
1772213673.660747,366.0,807.0
1772213673.6634135,366.0,807.0
1772213673.6660802,366.0,808.0
1772213673.6586673,366.0,808.0
1772213673.661334,366.0,808.0
1772213673.6640005,366.0,808.0
1772213673.6666672,366.0,807.0
1772213673.6590798,366.0,806.0
1772213673.6617465,366.0,807.0
1772213673.664413,366.0,808.0
1772213673.6670797,366.0,808.0
1772213673.6600783,366.0,808.0
1772213673.662745,366.0,807.0
1772213673.6654115,365.0,807.0
1772213673.6680782,365.0,807.0
1772213673.6609256,365.0,806.0
1772213673.6635923,364.0,806.0
1772213673.6662588,364.0,806.0
1772213673.6689255,365.0,807.0
1772213673.673544,365.0,807.0
1772213673.6762106,365.0,807.0
1772213673.678877,366.0,807.0
1772213673.6815438,365.0,806.0
1772213673.6766887,365.0,806.0
1772213673.6793554,365.0,806.0
1772213673.6820219,365.0,806.0
1772213673.6846886,365.0,807.0
1772213673.7051945,365.0,807.0
1772213673.7078612,364.0,807.0
1772213673.7105277,364.0,806.0
1772213673.7131944,363.0,806.0
1772213673.7058663,364.0,806.0
1772213673.708533,364.0,806.0
1772213673.7111995,364.0,806.0
1772213673.7138662,364.0,806.0
1772213673.7058663,365.0,806.0
1772213673.708533,365.0,807.0
1772213673.7111995,364.0,806.0
1772213673.7138662,365.0,807.0
1772213673.7168267,365.0,807.0
1772213673.7194934,364.0,806.0
1772213673.7221599,364.0,806.0
1772213673.7248266,363.0,806.0
1772213673.7188792,364.0,807.0
1772213673.721546,364.0,807.0
1772213673.7242124,364.0,807.0
1772213673.7268791,364.0,806.0
1772213673.7335129,363.0,806.0
1772213673.7361796,363.0,806.0
1772213673.738846,362.0,805.0
1772213673.7415128,362.0,805.0
1772213673.7447188,363.0,806.0
1772213673.7473855,363.0,806.0
1772213673.750052,363.0,806.0
1772213673.7527187,363.0,806.0
1772213673.7466538,363.0,806.0
1772213673.7493205,363.0,805.0
1772213673.751987,363.0,806.0
1772213673.7546537,362.0,806.0
1772213673.7466538,362.0,806.0
1772213673.7493205,362.0,806.0
1772213673.751987,362.0,806.0
1772213673.7546537,362.0,806.0
1772213673.7626884,363.0,805.0
1772213673.765355,363.0,805.0
1772213673.7680216,364.0,806.0
1772213673.7706883,365.0,808.0
1772213673.7626884,365.0,807.0
1772213673.765355,365.0,807.0
1772213673.7680216,362.0,806.0
1772213673.7706883,361.0,806.0
1772213673.7947435,361.0,806.0
1772213673.7974102,362.0,806.0
1772213673.8000767,363.0,806.0
1772213673.8027434,362.0,806.0
1772213673.7963207,363.0,806.0
1772213673.7989874,363.0,807.0
1772213673.8016539,364.0,807.0
1772213673.8043206,366.0,809.0
1772213673.7969334,369.0,811.0
1772213673.7996001,371.0,811.0
1772213673.8022666,373.0,810.0
1772213673.8049333,368.0,807.0
1772213673.8029828,366.0,806.0
1772213673.8056495,364.0,807.0
1772213673.808316,363.0,813.0
1772213673.8109827,367.0,812.0
1772213673.8055475,368.0,809.0
1772213673.8082142,367.0,812.0
1772213673.8108807,373.0,813.0
1772213673.8135474,368.0,812.0
1772213673.8072293,370.0,812.0
1772213673.809896,382.0,819.0
1772213673.8125625,382.0,816.0
1772213673.8152292,381.0,813.0
1772213673.8426287,378.0,813.0
1772213673.8452954,381.0,819.0
1772213673.847962,384.0,826.0
1772213673.8506286,391.0,828.0
1772213673.843388,395.0,826.0
1772213673.8460548,399.0,830.0
1772213673.8487213,405.0,837.0
1772213673.851388,412.0,844.0
1772213673.8451333,418.0,846.0
1772213673.8478,423.0,851.0
1772213673.8504665,422.0,851.0
1772213673.8531332,425.0,852.0
1772213673.8476515,430.0,854.0
1772213673.8503182,432.0,859.0
1772213673.8529847,441.0,865.0
1772213673.8556514,448.0,871.0
1772213673.8498642,451.0,878.0
1772213673.852531,454.0,873.0
1772213673.8551974,461.0,878.0
1772213673.8578641,460.0,882.0
1772213673.8676558,461.0,883.0
1772213673.8703225,461.0,884.0
1772213673.872989,463.0,885.0
1772213673.8756557,467.0,887.0
1772213673.8709652,472.0,891.0
1772213673.873632,473.0,894.0
1772213673.8762984,474.0,892.0
1772213673.8789651,471.0,893.0
1772213673.8936372,470.0,896.0
1772213673.896304,474.0,895.0
1772213673.8989704,476.0,895.0
1772213673.901637,477.0,898.0
1772213673.8945158,477.0,900.0
1772213673.8971825,479.0,897.0
1772213673.899849,479.0,900.0
1772213673.9025156,477.0,897.0
1772213673.895519,475.0,897.0
1772213673.8981857,478.0,900.0
1772213673.9008522,478.0,899.0
1772213673.903519,480.0,899.0
1772213673.908139,480.0,901.0
1772213673.9108057,480.0,902.0
1772213673.9134722,480.0,901.0
1772213673.916139,480.0,900.0
1772213673.9115927,481.0,901.0
1772213673.9142594,480.0,900.0
1772213673.916926,480.0,901.0
1772213673.9195926,480.0,901.0
1772213673.9141877,480.0,901.0
1772213673.9168544,478.0,900.0
1772213673.9195209,476.0,898.0
1772213673.9221876,475.0,897.0
1772213673.9385233,473.0,895.0
1772213673.94119,471.0,892.0
1772213673.9438565,468.0,889.0
1772213673.9465232,466.0,887.0
1772213673.940147,464.0,885.0
1772213673.9428136,462.0,882.0
1772213673.94548,461.0,880.0
